epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,82.8498,0.84528,0.8619,0.9366,0.46393,0.5845,0.57215,0.40707,1.18726,2.11045,1.07053,7.89357e-05,7.89357e-05,7.89357e-05
40,84.7241,0.80367,0.89674,0.89951,0.46393,0.5845,0.57215,0.40707,1.18726,2.11045,1.07053,7.97272e-05,7.97272e-05,7.97272e-05
41,86.7625,0.82029,0.84648,0.88385,0.51124,0.59404,0.59111,0.3652,1.5111,2.45175,1.21535,8.04528e-05,8.04528e-05,8.04528e-05
42,88.7615,1.00279,0.82151,0.94697,0.51124,0.59404,0.59111,0.3652,1.5111,2.45175,1.21535,8.11125e-05,8.11125e-05,8.11125e-05
43,91.2068,0.78332,0.69699,0.89259,0.64665,0.52324,0.59885,0.34433,1.65116,2.70239,1.29769,8.17062e-05,8.17062e-05,8.17062e-05
44,93.1231,0.81776,0.75051,0.87774,0.64665,0.52324,0.59885,0.34433,1.65116,2.70239,1.29769,8.2234e-05,8.2234e-05,8.2234e-05
45,95.1073,1.04625,0.71215,1.0016,0.50666,0.62559,0.70084,0.4998,1.17431,1.76411,1.06554,8.26959e-05,8.26959e-05,8.26959e-05
46,97.2,0.86701,0.62582,0.9795,0.50666,0.62559,0.70084,0.4998,1.17431,1.76411,1.06554,8.30918e-05,8.30918e-05,8.30918e-05
47,99.4267,0.89642,0.74328,0.93749,0.52403,0.56772,0.57002,0.39543,1.36423,1.82738,1.14431,8.34218e-05,8.34218e-05,8.34218e-05
48,101.342,0.8863,0.65057,0.91833,0.52403,0.56772,0.57002,0.39543,1.36423,1.82738,1.14431,8.36859e-05,8.36859e-05,8.36859e-05
49,103.522,0.82771,0.61283,0.97757,0.57694,0.40858,0.51551,0.2979,1.59799,1.94967,1.22467,8.3884e-05,8.3884e-05,8.3884e-05
50,105.992,0.97526,0.76596,0.96399,0.57694,0.40858,0.51551,0.2979,1.59799,1.94967,1.22467,8.40162e-05,8.40162e-05,8.40162e-05
51,108.065,1.34794,0.8463,0.94698,0.6017,0.59858,0.64316,0.41674,1.31707,1.62111,1.11835,8.40825e-05,8.40825e-05,8.40825e-05
52,109.991,0.85051,0.57218,0.97585,0.6017,0.59858,0.64316,0.41674,1.31707,1.62111,1.11835,8.40828e-05,8.40828e-05,8.40828e-05
53,111.924,0.88997,0.63267,0.893,0.6017,0.59858,0.64316,0.41674,1.31707,1.62111,1.11835,8.40172e-05,8.40172e-05,8.40172e-05
54,113.902,0.84355,0.65955,0.93271,0.6782,0.59201,0.66833,0.4827,1.08932,1.32868,1.03394,8.38857e-05,8.38857e-05,8.38857e-05
55,115.862,0.88781,0.56511,0.98748,0.6782,0.59201,0.66833,0.4827,1.08932,1.32868,1.03394,8.36882e-05,8.36882e-05,8.36882e-05
56,118.158,0.79442,0.57883,0.92108,0.6782,0.59201,0.66833,0.4827,1.08932,1.32868,1.03394,8.34248e-05,8.34248e-05,8.34248e-05
57,120.164,0.79749,0.70967,0.86931,0.69664,0.56738,0.67101,0.50154,1.03141,1.25878,1.00878,8.30955e-05,8.30955e-05,8.30955e-05
58,122.013,0.8153,0.65941,0.87295,0.69664,0.56738,0.67101,0.50154,1.03141,1.25878,1.00878,8.27002e-05,8.27002e-05,8.27002e-05
59,123.893,0.73682,0.57308,0.89605,0.69664,0.56738,0.67101,0.50154,1.03141,1.25878,1.00878,8.2239e-05,8.2239e-05,8.2239e-05
60,125.93,0.77526,0.60632,0.90727,0.71471,0.57984,0.66652,0.49826,1.04397,1.1447,1.00388,8.17119e-05,8.17119e-05,8.17119e-05
61,127.809,0.66297,0.48836,0.88166,0.71471,0.57984,0.66652,0.49826,1.04397,1.1447,1.00388,8.11188e-05,8.11188e-05,8.11188e-05
62,130.106,0.72715,0.51871,0.91194,0.71471,0.57984,0.66652,0.49826,1.04397,1.1447,1.00388,8.04598e-05,8.04598e-05,8.04598e-05
63,132.116,0.81216,0.61714,0.88606,0.59778,0.62873,0.69782,0.51325,1.08059,1.05437,1.01584,7.97349e-05,7.97349e-05,7.97349e-05
64,134.242,0.70968,0.5546,0.88626,0.59778,0.62873,0.69782,0.51325,1.08059,1.05437,1.01584,7.8944e-05,7.8944e-05,7.8944e-05
65,136.369,0.69273,0.52625,0.90057,0.59778,0.62873,0.69782,0.51325,1.08059,1.05437,1.01584,7.80872e-05,7.80872e-05,7.80872e-05
66,138.575,0.7239,0.58968,0.83886,0.64693,0.71904,0.7397,0.5368,1.08354,1.01269,1.01821,7.71644e-05,7.71644e-05,7.71644e-05
67,140.709,0.70881,0.51667,0.88517,0.64693,0.71904,0.7397,0.5368,1.08354,1.01269,1.01821,7.61757e-05,7.61757e-05,7.61757e-05
68,143.258,0.74471,0.56747,0.85956,0.64693,0.71904,0.7397,0.5368,1.08354,1.01269,1.01821,7.51211e-05,7.51211e-05,7.51211e-05
69,145.464,0.76877,0.5018,0.92297,0.67025,0.7503,0.77281,0.5634,1.0717,1.00526,1.01433,7.40006e-05,7.40006e-05,7.40006e-05
70,147.62,0.70065,0.52989,0.87879,0.67025,0.7503,0.77281,0.5634,1.0717,1.00526,1.01433,7.28141e-05,7.28141e-05,7.28141e-05
71,149.771,0.69319,0.54176,0.88297,0.67025,0.7503,0.77281,0.5634,1.0717,1.00526,1.01433,7.15617e-05,7.15617e-05,7.15617e-05
72,151.981,0.67931,0.49579,0.88394,0.67355,0.76682,0.75507,0.54538,1.08364,1.02111,1.0202,7.02434e-05,7.02434e-05,7.02434e-05
73,153.9,0.69664,0.47714,0.91628,0.67355,0.76682,0.75507,0.54538,1.08364,1.02111,1.0202,6.88591e-05,6.88591e-05,6.88591e-05
