epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,88.0136,0.86153,0.93469,0.94683,0.62956,0.66507,0.69462,0.52157,1.0251,1.49227,0.98337,3.13313e-05,3.13313e-05,3.13313e-05
40,89.8579,0.91285,1.00028,0.91521,0.62956,0.66507,0.69462,0.52157,1.0251,1.49227,0.98337,2.95844e-05,2.95844e-05,2.95844e-05
41,92.2793,0.91909,1.30912,0.91859,0.65426,0.68875,0.72394,0.53555,1.07124,1.31457,1.00203,2.77056e-05,2.77056e-05,2.77056e-05
42,94.554,0.94982,0.83218,0.96867,0.65426,0.68875,0.72394,0.53555,1.07124,1.31457,1.00203,2.56949e-05,2.56949e-05,2.56949e-05
43,96.8274,0.966,1.40858,0.92144,0.73076,0.62061,0.74488,0.55675,1.04864,1.21305,0.98709,2.35524e-05,2.35524e-05,2.35524e-05
44,98.9051,0.95967,0.85673,0.99606,0.73076,0.62061,0.74488,0.55675,1.04864,1.21305,0.98709,2.1278e-05,2.1278e-05,2.1278e-05
45,101.844,0.84548,0.84603,0.91734,0.64328,0.68126,0.73962,0.55685,1.00897,1.15155,0.97073,1.88718e-05,1.88718e-05,1.88718e-05
46,104.367,1.19516,1.28161,0.9499,0.64328,0.68126,0.73962,0.55685,1.00897,1.15155,0.97073,1.63336e-05,1.63336e-05,1.63336e-05
47,106.418,0.82506,0.70621,0.95829,0.62879,0.70422,0.74782,0.56071,1.00378,1.12153,0.96928,1.36637e-05,1.36637e-05,1.36637e-05
48,108.527,0.8508,0.72253,0.99578,0.62879,0.70422,0.74782,0.56071,1.00378,1.12153,0.96928,1.08618e-05,1.08618e-05,1.08618e-05
49,110.737,0.8191,0.75235,0.93207,0.62105,0.69733,0.75361,0.57236,0.98706,1.08781,0.96311,7.92806e-06,7.92806e-06,7.92806e-06
50,112.863,0.77324,0.6763,0.93277,0.62105,0.69733,0.75361,0.57236,0.98706,1.08781,0.96311,4.86247e-06,4.86247e-06,4.86247e-06
